City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Upernavik,GL,2022-07-28 19:31:08,72.7868,-56.1549,43.05,69,100,5.75,overcast clouds,0,0
1,Mataura,NZ,2022-07-28 19:26:41,-46.1927,168.8643,47.48,97,100,4.27,overcast clouds,0,0
2,New Norfolk,AU,2022-07-28 19:31:09,-42.7826,147.0587,40.71,85,7,4.23,clear sky,0,0
3,Ushuaia,AR,2022-07-28 19:31:10,-54.8,-68.3,46.06,53,75,17.27,broken clouds,0,0
4,Cabo San Lucas,MX,2022-07-28 19:30:53,22.8909,-109.9124,93.61,48,20,10.36,few clouds,0,0
5,Rosarito,MX,2022-07-28 19:27:55,32.3333,-117.0333,85.41,67,42,9.73,scattered clouds,0,0
6,Malinovoye Ozero,RU,2022-07-28 19:31:14,51.6753,79.7825,67.98,64,92,7.47,overcast clouds,0,0
7,Kapaa,US,2022-07-28 19:31:16,22.0752,-159.319,80.58,75,100,10.36,light rain,0,0
8,Poopo,BO,2022-07-28 19:31:18,-18.3667,-66.9667,63.37,13,97,10.36,overcast clouds,0,0
9,Vaini,TO,2022-07-28 19:26:35,-21.2,-175.2,73.56,100,20,6.91,few clouds,0,0
10,Buala,SB,2022-07-28 19:31:22,-8.145,159.5921,79.93,81,60,8.81,light rain,0,0
11,Rikitea,PF,2022-07-28 19:26:25,-23.1203,-134.9692,73.56,73,100,20.58,overcast clouds,0,0
12,Albany,US,2022-07-28 19:28:20,42.6001,-73.9662,90.64,61,100,3.0,overcast clouds,0,0
13,Qaanaaq,GL,2022-07-28 19:31:24,77.484,-69.3632,41.22,68,11,2.95,few clouds,0,0
14,Hobart,AU,2022-07-28 19:30:09,-42.8794,147.3294,41.05,83,40,5.75,scattered clouds,0,0
15,Punta Arenas,CL,2022-07-28 19:31:25,-53.15,-70.9167,44.71,81,75,28.77,light intensity shower rain,0,0
16,Jamestown,US,2022-07-28 19:31:27,42.097,-79.2353,82.06,43,20,16.11,few clouds,0,0
17,Dunedin,NZ,2022-07-28 19:29:54,-45.8742,170.5036,44.8,75,100,8.01,overcast clouds,0,0
18,Grand Gaube,MU,2022-07-28 19:31:31,-20.0064,57.6608,70.38,74,2,7.0,clear sky,0,0
19,Bredasdorp,ZA,2022-07-28 19:31:32,-34.5322,20.0403,52.81,74,0,6.33,clear sky,0,0
20,Venado Tuerto,AR,2022-07-28 19:31:33,-33.7456,-61.9688,59.77,27,0,16.69,clear sky,0,0
21,Bilecik,TR,2022-07-28 19:31:34,40.0,30.1667,75.85,58,0,2.53,clear sky,0,0
22,Castro,BR,2022-07-28 19:31:35,-24.7911,-50.0119,68.83,54,100,8.08,overcast clouds,0,0
23,Lagoa,PT,2022-07-28 19:27:53,39.05,-27.9833,72.5,74,3,4.36,clear sky,0,0
24,Nome,US,2022-07-28 19:27:39,64.5011,-165.4064,55.17,76,0,4.61,clear sky,0,0
25,Tomatlan,MX,2022-07-28 19:30:04,19.9333,-105.25,90.61,49,53,10.85,broken clouds,0,0
26,Hithadhoo,MV,2022-07-28 19:31:37,-0.6,73.0833,82.18,74,100,11.72,overcast clouds,0,0
27,Nikolskoye,RU,2022-07-28 19:30:27,59.7035,30.7861,61.81,78,100,3.74,overcast clouds,0,0
28,Pozhva,RU,2022-07-28 19:31:38,59.0912,56.0847,60.24,75,80,1.39,broken clouds,0,0
29,Esperance,AU,2022-07-28 19:31:38,-33.8667,121.9,57.16,81,1,12.37,clear sky,0,0
30,Bengkulu,ID,2022-07-28 19:29:20,-3.8004,102.2655,75.52,90,75,4.81,light rain,0,0
31,Ambanja,MG,2022-07-28 19:29:55,-13.6833,48.45,72.39,79,75,1.23,broken clouds,0,0
