City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kuytun,RU,2022-07-28 15:15:59,54.3419,101.5036,57.76,82,93,3.58
1,Albany,US,2022-07-28 15:15:06,42.6001,-73.9662,85.3,65,7,1.01
2,East London,ZA,2022-07-28 15:16:00,-33.0153,27.9116,67.14,77,0,16.11
3,Grand-Santi,GF,2022-07-28 15:16:00,4.25,-54.3833,81.45,87,30,2.19
4,Saldanha,ZA,2022-07-28 15:16:00,-33.0117,17.9442,66.25,72,0,11.99
5,Peleduy,RU,2022-07-28 15:16:01,59.6289,112.7406,63.43,96,81,4.27
6,Otukpo,NG,2022-07-28 15:16:02,7.1913,8.1329,71.49,98,100,2.42
7,Carnarvon,AU,2022-07-28 15:16:02,-24.8667,113.6333,70.11,59,100,6.87
8,Kjopsvik,NO,2022-07-28 15:16:03,68.097,16.3742,57.07,68,69,6.31
9,Hirara,JP,2022-07-28 15:16:03,24.8,125.2833,85.23,74,3,10.02
10,Rikitea,PF,2022-07-28 15:16:04,-23.1203,-134.9692,73.17,68,0,20.11
11,Castro,BR,2022-07-28 15:16:03,-24.7911,-50.0119,73.13,45,72,11.23
12,Chapada Dos Guimaraes,BR,2022-07-28 15:16:05,-15.4606,-55.7497,83.86,18,1,7.29
13,Shubarshi,KZ,2022-07-28 15:16:06,48.5872,57.1869,82.69,37,70,9.37
14,Vaini,TO,2022-07-28 15:16:06,-21.2,-175.2,73.56,94,40,5.75
15,Cabedelo,BR,2022-07-28 15:16:07,-6.9811,-34.8339,83.07,72,29,14.83
16,Saint George,US,2022-07-28 15:12:03,37.1041,-113.5841,80.44,68,0,5.75
17,Bud,US,2022-07-28 15:16:08,39.447,-86.1758,82.67,69,91,4.59
18,Vanavara,RU,2022-07-28 15:16:08,60.34,102.2797,62.8,96,100,3.94
19,Mataura,NZ,2022-07-28 15:16:09,-46.1927,168.8643,47.48,98,100,3.6
20,Jamestown,US,2022-07-28 15:11:37,42.097,-79.2353,77.18,60,75,14.97
21,Butaritari,KI,2022-07-28 15:16:09,3.0707,172.7902,81.7,73,100,15.68
22,Cape Town,ZA,2022-07-28 15:16:11,-33.9258,18.4232,66.88,54,0,19.57
23,Hilo,US,2022-07-28 15:16:12,19.7297,-155.09,75.27,89,0,6.91
24,Abha,SA,2022-07-28 15:16:12,18.2164,42.5053,76.82,50,40,5.75
25,Grand Gaube,MU,2022-07-28 15:16:13,-20.0064,57.6608,71.38,72,2,5.01
26,Cidreira,BR,2022-07-28 15:16:13,-30.1811,-50.2056,72.34,68,100,5.53
27,Dikson,RU,2022-07-28 15:16:14,73.5069,80.5464,44.26,96,100,16.8
28,Aswan,EG,2022-07-28 15:16:15,24.0934,32.907,105.51,10,98,13.62
29,Ushuaia,AR,2022-07-28 15:12:27,-54.8,-68.3,44.26,57,75,13.8
30,Talnakh,RU,2022-07-28 15:16:15,69.4865,88.3972,60.21,62,9,10.71
31,Kozhva,RU,2022-07-28 15:16:16,65.1073,57.0459,75.52,40,10,6.26
32,Jiaohe,CN,2022-07-28 15:16:16,43.7286,127.3447,69.58,93,84,3.62
33,Puerto Ayora,EC,2022-07-28 15:16:17,-0.7393,-90.3518,75.16,92,100,10.0
34,San Patricio,US,2022-07-28 15:16:17,28.017,-97.5169,89.55,54,2,12.44
35,Salalah,OM,2022-07-28 15:16:18,17.0151,54.0924,77.09,88,75,9.22
36,Mar Del Plata,AR,2022-07-28 15:12:19,-38.0023,-57.5575,49.08,92,100,7.0
37,Hobart,AU,2022-07-28 15:15:02,-42.8794,147.3294,44.46,73,26,12.66
38,Celestun,MX,2022-07-28 15:16:19,20.8667,-90.4,83.75,69,99,8.84
39,Ribas Do Rio Pardo,BR,2022-07-28 15:16:20,-20.4431,-53.7592,90.36,18,30,10.22
40,Airai,TL,2022-07-28 15:16:20,-8.9266,125.4092,53.56,85,34,4.14
41,Guanhaes,BR,2022-07-28 15:15:52,-18.775,-42.9325,77.59,32,0,4.72
42,Alzey,DE,2022-07-28 15:16:21,49.7517,8.1161,83.46,38,100,8.37
43,Roquetas De Mar,ES,2022-07-28 15:16:22,36.7642,-2.6148,87.62,48,0,5.61
44,Busselton,AU,2022-07-28 15:16:22,-33.65,115.3333,62.29,85,23,17.76
45,Punta Arenas,CL,2022-07-28 15:16:22,-53.15,-70.9167,41.11,87,75,28.77
46,Barrow,US,2022-07-28 15:16:23,71.2906,-156.7887,33.13,97,100,12.55
47,Lalmohan,BD,2022-07-28 15:16:23,22.3384,90.7419,85.14,76,100,8.99
48,Orocue,CO,2022-07-28 15:16:24,4.7912,-71.3354,73.99,90,100,5.97
49,Bozeman,US,2022-07-28 15:16:24,45.6796,-111.0386,73.2,56,0,3.44
50,Mikhaylovskoye,RU,2022-07-28 15:16:24,51.8239,79.7172,79.16,39,30,15.7
51,Dandong,CN,2022-07-28 15:16:25,40.1292,124.3947,74.17,93,96,5.28
52,New Norfolk,AU,2022-07-28 15:16:25,-42.7826,147.0587,44.1,80,55,1.01
53,Bengkulu,ID,2022-07-28 15:16:26,-3.8004,102.2655,78.1,87,91,3.58
54,Arraial Do Cabo,BR,2022-07-28 15:15:14,-22.9661,-42.0278,85.96,45,0,6.91
55,Smidovich,RU,2022-07-28 15:16:26,48.6,133.8167,72.52,91,98,5.35
56,Menongue,AO,2022-07-28 15:16:27,-14.6585,17.691,81.93,10,66,6.42
57,Beloha,MG,2022-07-28 15:16:28,-25.1667,45.05,65.71,73,17,11.92
58,Thompson,CA,2022-07-28 15:16:10,55.7435,-97.8558,66.36,52,20,9.22
59,Garowe,SO,2022-07-28 15:16:28,8.4054,48.4845,88.56,30,10,19.33
60,Hithadhoo,MV,2022-07-28 15:16:29,-0.6,73.0833,82.44,74,99,13.09
61,Lagoa,PT,2022-07-28 15:16:29,39.05,-27.9833,72.05,79,11,5.64
62,Upata,VE,2022-07-28 15:16:29,8.0086,-62.3989,83.19,59,6,4.74
63,Necochea,AR,2022-07-28 15:16:30,-38.5473,-58.7368,49.39,79,78,24.45
64,Hit,IQ,2022-07-28 15:16:30,33.6416,42.8251,109.71,6,0,13.78
65,Rawson,AR,2022-07-28 15:16:31,-43.3002,-65.1023,47.34,52,4,15.88
66,Energeticheskiy,KZ,2022-07-28 15:16:31,43.4278,77.0222,82.96,39,75,4.47
67,Vao,NC,2022-07-28 15:16:31,-22.6667,167.4833,69.01,70,0,10.58
68,Zhigansk,RU,2022-07-28 15:16:32,66.7697,123.3711,70.63,61,89,8.21
69,Baruun-Urt,MN,2022-07-28 15:16:32,46.6806,113.2792,65.39,49,33,16.15
70,Sao Filipe,CV,2022-07-28 15:16:33,14.8961,-24.4956,80.71,77,39,11.5
71,Atuona,PF,2022-07-28 15:16:33,-9.8,-139.0333,76.19,77,47,24.45
72,Mahebourg,MU,2022-07-28 15:16:33,-20.4081,57.7,71.26,78,40,8.05
73,Aykhal,RU,2022-07-28 15:16:34,66.0,111.5,73.72,66,5,6.26
74,Boali,CF,2022-07-28 15:16:34,4.8005,18.1275,75.4,89,100,1.7
75,Tasiilaq,GL,2022-07-28 15:16:35,65.6145,-37.6368,42.96,90,100,6.02
76,Imbituba,BR,2022-07-28 15:16:35,-28.24,-48.6703,78.1,73,100,3.0
77,Stege,DK,2022-07-28 15:16:35,54.987,12.2846,70.05,59,100,5.21
78,Ivanteyevka,RU,2022-07-28 15:16:36,55.9711,37.9208,73.35,66,99,7.29
79,Norman Wells,CA,2022-07-28 15:16:36,65.282,-126.8329,59.04,82,75,4.61
80,Bereda,ES,2022-07-28 15:16:37,43.2686,-7.5406,79.41,64,61,5.93
81,Pevek,RU,2022-07-28 15:16:37,69.7008,170.3133,39.72,77,94,5.01
82,Westport,US,2022-07-28 15:12:38,41.1415,-73.3579,86.14,78,0,9.22
83,Batagay-Alyta,RU,2022-07-28 15:16:37,67.8006,130.4114,68.43,63,99,2.55
84,Acarau,BR,2022-07-28 15:16:38,-2.8856,-40.12,87.19,52,42,13.42
85,Yellowknife,CA,2022-07-28 15:15:21,62.456,-114.3525,63.12,72,100,11.01
86,Zacualpan,MX,2022-07-28 15:16:38,21.25,-105.1667,80.22,86,97,2.42
87,Faanui,PF,2022-07-28 15:16:39,-16.4833,-151.75,78.6,75,14,26.35
88,Souillac,MU,2022-07-28 15:16:39,-20.5167,57.5167,70.18,78,40,8.05
89,Nyurba,RU,2022-07-28 15:16:39,63.2842,118.3319,68.32,79,22,6.02
90,Geraldton,AU,2022-07-28 15:16:40,-28.7667,114.6,59.41,88,66,11.5
91,Pisco,PE,2022-07-28 15:16:40,-13.7,-76.2167,62.65,77,100,3.44
92,Kapaa,US,2022-07-28 15:16:41,22.0752,-159.319,75.52,91,20,8.05
93,Fortuna,US,2022-07-28 15:16:41,40.5982,-124.1573,57.34,93,100,0.0
94,Juneau,US,2022-07-28 15:16:05,58.3019,-134.4197,59.85,98,100,13.8
95,Vanimo,PG,2022-07-28 15:16:41,-2.6741,141.3028,78.21,88,41,6.6
96,Bridlington,GB,2022-07-28 15:16:42,54.0831,-0.1919,69.73,80,100,14.88
97,Saint Anthony,US,2022-07-28 15:16:42,45.0205,-93.218,70.84,61,20,18.41
98,Ivanava,BY,2022-07-28 15:16:43,52.1451,25.5365,72.18,45,1,9.22
99,Fukue,JP,2022-07-28 15:16:43,32.6881,128.8419,81.75,85,100,10.74
100,Kruisfontein,ZA,2022-07-28 15:16:43,-34.0033,24.7314,70.88,61,0,0.4
101,Hermanus,ZA,2022-07-28 15:16:44,-34.4187,19.2345,64.8,69,0,5.08
102,Dongsheng,CN,2022-07-28 15:16:44,39.8161,109.9776,75.07,40,59,17.58
103,Bukama,CD,2022-07-28 15:16:45,-9.2,25.85,91.65,15,75,1.52
104,Port Hedland,AU,2022-07-28 15:16:45,-20.3167,118.5667,60.85,63,0,6.91
105,Port Alfred,ZA,2022-07-28 15:16:45,-33.5906,26.891,67.17,77,14,5.99
106,Nalut,LY,2022-07-28 15:16:46,30.3333,10.85,102.18,11,1,13.6
107,Saskylakh,RU,2022-07-28 15:16:46,71.9167,114.0833,67.12,53,100,4.29
108,Provost,CA,2022-07-28 15:16:47,52.3501,-110.2683,72.05,51,0,7.23
109,Saint-Pierre,RE,2022-07-28 15:16:47,-21.3393,55.4781,71.29,76,75,3.44
